"relative_path","category","service","label","associated_content","source_page","source_asset","confidence","dimensions","notes"
"images/overview/showroom.jpg","overview","","Showroom","Showroom inspirador, servicios de diseño, tecnología 360/Envision y gestión del proyecto","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2023/03/02103514/showroom.jpg","alta","1200x800","Apta para uso destacado"
"images/overview/appointment.jpg","overview","","Appointment","Qué sucede en una consulta: escucha, asesoramiento, colores, ejemplos y medición","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2023/03/02103549/Appointment.jpg","alta","1080x720","Apta para uso destacado"
"images/process/01-consult.jpg","process","","1. Consult","Visita del diseñador, conversación sobre objetivos y medición del espacio","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2023/03/02121527/Consult.jpg","alta","600x400","Relación directa"
"images/process/02-design.jpg","process","","2. Design","Diseño personalizado y visualización 360°","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2023/03/02103544/Design.jpg","alta","600x400","Relación directa | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/process/03-prepare.jpg","process","","3. Prepare","Plan de preparación del espacio","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2023/03/02103519/Prepare.jpg","alta","600x398","Relación por posición estructural inmediata | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/process/04-install.jpg","process","","4. Install","Instalación profesional de gabinetes y barras","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2023/03/02103523/Install.jpg","alta","1080x720","Relación directa"
"images/team/ronald-perez.jpg","team","","Ronald Perez","Business Operations","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2026/02/10141155/f-2-19-23634480_tgU13OP6_Ronald_Perez_480x480_acf_cropped.jpg","alta","480x480","Retrato identificado"
"images/team/rosa-perez.jpg","team","","Rosa Perez","Finance Director","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2026/02/10141341/f-2-19-23634480_DlUVUT93_Rosa_Perez_480x480_acf_cropped.jpg","alta","480x480","Retrato identificado"
"images/team/pati-juarez.jpg","team","","Patricia Pati Juarez","Head Designer","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/11/19105857/Pati-min-scaled_480x480_acf_cropped_480x480_acf_cropped.jpg","alta","480x480","Retrato identificado"
"images/team/merary-torres.jpg","team","","Merary Torres","Designer","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2026/07/28234534/Merary_Torres_Houston_Headshot_480x480_acf_cropped.jpg","alta","480x480","Retrato identificado"
"images/team/cassandra-perez.jpg","team","","Cassandra Perez","Showroom Coordinator","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/11/19105958/cassandra-min-scaled_480x480_acf_cropped_480x480_acf_cropped.jpg","alta","480x480","Retrato identificado"
"images/team/juan-juarez.jpg","team","","Juan Juarez","Operations Manager","https://www.inspiredclosets.com/locations/houston/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/11/19105912/Juan-min-scaled_480x480_acf_cropped_480x480_acf_cropped.jpg","alta","480x480","Retrato identificado"
"images/services/closet/boutique.jpg","service","Closet","Boutique","Closet boutique; exhibición y organización elevada del guardarropa","https://www.inspiredclosets.com/locations/houston/closet/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2024/11/27084219/IC_00529.tif-crop-1.jpg","alta","300x227","Apta para uso destacado | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/closet/reach-in.jpg","service","Closet","Reach-In","Closet compacto con almacenamiento personalizado","https://www.inspiredclosets.com/locations/houston/closet/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2024/11/27091738/IC_PalmBeach_011-crop-400x400-1.jpg","alta","300x300","Apta para uso destacado | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/closet/walk-in.jpg","service","Closet","Walk-In","Walk-in closet con zonas funcionales y personalización","https://www.inspiredclosets.com/locations/houston/closet/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2024/11/27092313/D_1481-400x400-1.jpg","alta","300x300","Apta para uso destacado | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
